"Option","0","... Committed a Type 2 Error"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-39",""
"Title","FallaciesMC1-39",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'My cousin said this was the best golf club on the market, so it must be the best club on the market.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Committed the Lack of Evidence Fallacy"
"Option","100","... Committed the Anecdotal Evidence Fallacy"
"Option","0","... Committed the Correlation Equals Causation Fallacy"
"Option","0","... Committed a Type 2 Error"
"Option","0","... Operationalized a Study's Problem"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-40",""
"Title","FallaciesMC1-40",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'There is no hard evidence that she stole the money, thus we must conclude that she did not steal the money.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Collected Data for a Study"
"Option","0","... Committed the Anecdotal Evidence Fallacy"
"Option","100","... Committed the Lack of Evidence Fallacy"
"Option","0","... Committed the Correlation Equals Causation Fallacy"
"Option","0","Operationalized a Study's Problem"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-41",""
"Title","FallaciesMC1-41",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'My cousin said this was the best golf club on the market, so it must be the best club on the market.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Committed the Lack of Evidence Fallacy"
"Option","0","... Collected Data for a Study"
"Option","100","... Committed the Anecdotal Evidence Fallacy"
"Option","0","... Designed a Study"
"Option","0","... Conceptualized a Study's Problem"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-42",""
"Title","FallaciesMC1-42",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'There is no hard evidence that she stole the money, thus we must conclude that she did not steal the money.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","100","... Committed the Lack of Evidence Fallacy"
"Option","0","... Committed a Type 2 Error"
"Option","0","... Collected Data for a Study"
"Option","0","... Designed a Study"
"Option","0","... Conceptualized a Study's Problem"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-43",""
"Title","FallaciesMC1-43",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'I read that homelessness cannot be solved, so it's insoluble.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Committed the Correlation Equals Causation Fallacy"
"Option","0","... Conceptualized a Study's Problem"
"Option","0","... Operationalized a Study's Problem"
"Option","0","... Collected Data for a Study"
"Option","100","... Committed the Anecdotal Evidence Fallacy"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-44",""
"Title","FallaciesMC1-44",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'Old single people are always bitter, so being single makes them bitter.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Conceptualized a Study's Problem"
"Option","0","... Designed a Study"
"Option","0","... Committed the Anecdotal Evidence Fallacy"
"Option","0","... Committed a Type 2 Error"
"Option","100","... Committed the Correlation Equals Causation Fallacy"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-45",""
"Title","FallaciesMC1-45",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'My cousin said this was the best golf club on the market, so it must be the best club on the market.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Designed a Study"
"Option","0","... Operationalized a Study's Problem"
"Option","0","... Committed the Correlation Equals Causation Fallacy"
"Option","0","... Committed a Type 1 Error"
"Option","100","... Committed the Anecdotal Evidence Fallacy"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-46",""
"Title","FallaciesMC1-46",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'I read that homelessness cannot be solved, so it's insoluble.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Operationalized a Study's Problem"
"Option","100","... Committed the Anecdotal Evidence Fallacy"
"Option","0","... Committed the Lack of Evidence Fallacy"
"Option","0","... Designed a Study"
"Option","0","... Collected Data for a Study"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-47",""
"Title","FallaciesMC1-47",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'You can always find firefighters at fires, so firefighters must cause fires.' This person has just... ",""
"Points","4",""
"Difficulty","1",""
"Option","0","... Collected Data for a Study"
"Option","100","... Committed the Correlation Equals Causation Fallacy"
"Option","0","... Committed a Type 2 Error"
"Option","0","... Committed the Lack of Evidence Fallacy"
"Option","0","... Conceptualized a Study's Problem"
"Hint","The important concepts here are from the Knowledge and Data chapter of your coursepack.",""
"Feedback","Lack of Evidence: Reasoning the contrary is true because of a lack of evidence. Anecdotal Evidence: Generalizing on the grounds of just a few examples. Correlation/Causation: Reasoning that two things happening together means either causes the other.",""
"NewQuestion","MC",""
"ID","FallaciesMC1-48",""
"Title","FallaciesMC1-48",""
"QuestionText","While watching a debate online, you listen as one of the debaters claims, 'Since there is no proof that this drug is unsafe, we must conclude that it is safe.' This person has just... ",""
"Points","4",""
